                                                                    1st > 2nd     1st < 2nd
[0, 1, 2, 3, 4] = 3.2906241 A                                                         <
[0, 1, 2, 4, 3] = 3.0407834   B                                                       <
[0, 1, 3, 2, 4] = 3.088224      C                                                     <
[0, 1, 3, 4, 2] = 3.3922946       D                                                   <
[0, 1, 4, 2, 3] = 3.0645485         E                                                 <
[0, 1, 4, 3, 2] = 3.6184597           F                                               <
[0, 2, 1, 3, 4] = 3.119647              G                                             <
[0, 2, 1, 4, 3] = 3.0959716               H                                           <
[0, 2, 3, 1, 4] = 3.1434116                 I                                         <
[0, 2, 3, 4, 1] = 3.6184595           F                   1             >
[0, 2, 4, 1, 3] = 2.8935714                   J                                       <
[0, 2, 4, 3, 1] = 3.3922946       D                       1             >
[0, 3, 1, 2, 4] = 2.5657356                     K                                     <
[0, 3, 1, 4, 2] = 2.8935711                   J           2             >
[0, 3, 2, 1, 4] = 2.7919006                       L                                   <
[0, 3, 2, 4, 1] = 3.0645483         E                     1             >
[0, 3, 4, 1, 2] = 3.0959713               H               2             >
[0, 3, 4, 2, 1] = 3.0407836   B                           1             >
[0, 4, 1, 2, 3] = 2.7919006                       L           3!        >
[0, 4, 1, 3, 2] = 3.1434116                 I             2             >
[0, 4, 2, 1, 3] = 2.5657358                     K             3!        >
[0, 4, 2, 3, 1] = 3.0882237     C                         1             >
[0, 4, 3, 1, 2] = 3.1196468             G                 2             >
[0, 4, 3, 2, 1] = 3.2906241 A                             1             >
permutations (n - 1)! = 24
